# AHRD-Version 3.11

Protein-Accession	Blast-Hit-Accession	AHRD-Quality-Code	Human-Readable-Description	Interpro-ID (Description)	Gene-Ontology-Term
SMED30017730	tr|A0A0K9RZM0|A0A0K9RZM0_SPIOL	*-*	Polyadenylate-binding protein		GO:0003676, GO:0003723, GO:0005737
SMED30017739			Unknown protein		
SMED30017738	tr|A0A2P1ERR9|A0A2P1ERR9_SCHMD	***	PIM-1-like protein		GO:0004672, GO:0005524, GO:0006468
SMED30017737			Unknown protein		
SMED30017736			Unknown protein		
SMED30017735	tr|A0A0A1WQQ7|A0A0A1WQQ7_ZEUCU	***	DNA-directed RNA polymerase subunit beta		GO:0003899, GO:0032774
SMED30017734			Unknown protein		
SMED30030710	tr|A0A401RTZ6|A0A401RTZ6_CHIPU	*-*	TNF receptor-associated factor		GO:0001817, GO:0005164, GO:0005737, GO:0007165, GO:0008063, GO:0008270, GO:0032088, GO:0033209, GO:0042981, GO:0045087, GO:0046872, GO:0050688
SMED30005755	tr|A0A397T0V4|A0A397T0V4_9GLOM	*-*	Zinc knuckle-domain-containing protein		GO:0003676, GO:0008270
SMED30029722			Unknown protein		
SMED30030700	tr|A0A068Y986|A0A068Y986_ECHMU	***	Immunoglobulin		GO:0016020, GO:0016021
SMED30005756			Unknown protein		
SMED30029723			Unknown protein		
SMED30030701			Unknown protein		
SMED30005757			Unknown protein		
SMED30029720			Unknown protein		
SMED30030702			Unknown protein		
SMED30005758			Unknown protein		
SMED30029721			Unknown protein		
SMED30030703			Unknown protein		
SMED30005759			Unknown protein		
SMED30030704			Unknown protein		
SMED30030705			Unknown protein		
SMED30030706	tr|A0A3M7T8H7|A0A3M7T8H7_BRAPC	***	Transcription initiation factor IIB		GO:0003743, GO:0006355, GO:0006413, GO:0017025, GO:0046872, GO:0070897
SMED30030707			Unknown protein		
SMED30030708			Unknown protein		
SMED30030709			Unknown protein		
SMED30029728			Unknown protein		
SMED30005750			Unknown protein		
SMED30029729	sp|Q5EB25|NUBP1_XENTR	***	Cytosolic Fe-S cluster assembly factor nubp1		GO:0000166, GO:0005524, GO:0005737, GO:0005829, GO:0016226, GO:0046872, GO:0051536, GO:0051539
SMED30005751	sp|Q9WVB1|RAB6A_RAT	***	Ras-related protein Rab-6A		
SMED30029726	tr|A0A504YJS6|A0A504YJS6_FASGI	***	Dual specificity tyrosine-phosphorylation-regulated kinase		GO:0004672, GO:0005524, GO:0006468, GO:0016301, GO:0016310
SMED30005752	tr|A0A4Z2DNX2|A0A4Z2DNX2_SCHJA	***	Methionine aminopeptidase 2		GO:0004177, GO:0005737, GO:0006508, GO:0008233, GO:0008235, GO:0016787, GO:0046872, GO:0070006, GO:0070084
SMED30029727	tr|A0A1S8WL16|A0A1S8WL16_9TREM	*-*	Zinc finger, C2H2 type		GO:0003676
SMED30005753			Unknown protein		
SMED30029724			Unknown protein		
SMED30005754	tr|A0A3N4UJV7|A0A3N4UJV7_9BURK	*-*	Inosine-5'-monophosphate dehydrogenase		GO:0000166, GO:0003824, GO:0003938, GO:0006164, GO:0006177, GO:0016491, GO:0046872, GO:0055114
SMED30029725			Unknown protein		
SMED30017744	tr|A0A224Z5C0|A0A224Z5C0_9ACAR	***	Pseudouridine-5'-monophosphatase		GO:0016787
SMED30017743			Unknown protein		
SMED30017742			Unknown protein		
SMED30017741			Unknown protein		
SMED30017740			Unknown protein		
SMED30017749	tr|A0A1S4G1Z5|A0A1S4G1Z5_AEDAE	***	Peptidyl-glycine alpha-amidating monooxygenase		GO:0003824, GO:0006518, GO:0016020
SMED30017748	tr|A0A2T7IB09|A0A2T7IB09_THEOR	*-*	Ankyrin repeat containing protein		GO:0016020, GO:0016021
SMED30017747			Unknown protein		
SMED30017746			Unknown protein		
SMED30017745	tr|A0A2H5SYQ6|A0A2H5SYQ6_RHIID	*-*	Retrotransposable element		
SMED30003103			Unknown protein		
SMED30005766			Unknown protein		
SMED30029711			Unknown protein		
SMED30003102	tr|X6MRD8|X6MRD8_RETFI	*-*	UDENN domain-containing protein		GO:0016020, GO:0016021
SMED30005767			Unknown protein		
SMED30029712			Unknown protein		
SMED30003101	tr|A0A4E0RZJ5|A0A4E0RZJ5_FASHE	*-*	Dna-binding protein with pd1 dna-binding motif protein		GO:0003677
SMED30005768	tr|A0A365QYF5|A0A365QYF5_9BURK	***	Arginine/agmatine antiporter		GO:0016020, GO:0016021, GO:0022857, GO:0055085
SMED30003100			Unknown protein		
SMED30005769			Unknown protein		
SMED30029710			Unknown protein		
SMED30029719	tr|A0A267DB86|A0A267DB86_9PLAT	*-*	Rho-GAP domain-containing protein		GO:0007165
SMED30003109	tr|A0A0R3W538|A0A0R3W538_TAEAS	***	G_PROTEIN_RECEP_F1_2 domain-containing protein		GO:0016020, GO:0016021
SMED30005760	tr|A0A2I0MKF2|A0A2I0MKF2_COLLI	***	G protein-coupled receptor 19		GO:0004930, GO:0007186, GO:0016020, GO:0016021
SMED30029717			Unknown protein		
SMED30003108			Unknown protein		
SMED30005761			Unknown protein		
SMED30029718			Unknown protein		
SMED30003107			Unknown protein		
SMED30005762	tr|Q1JUB4|Q1JUB4_DUGJA	***	Contactin/TAG-1 cell adhesion molecule		GO:0007399, GO:0031175
SMED30029715			Unknown protein		
SMED30003106			Unknown protein		
SMED30005763			Unknown protein		
SMED30029716	tr|A0A0L8I8T7|A0A0L8I8T7_OCTBM	*-*	GYF domain-containing protein		
SMED30003105			Unknown protein		
SMED30005764			Unknown protein		
SMED30029713			Unknown protein		
SMED30003104			Unknown protein		
SMED30005765	tr|A0A067R4U9|A0A067R4U9_ZOONE	*-*	Phosphodiesterase		GO:0004114, GO:0007165, GO:0008081, GO:0016787, GO:0046872
SMED30029714	tr|A0A0N5BMI8|A0A0N5BMI8_STREA	***	Arg_repressor domain-containing protein		GO:0003700, GO:0006355, GO:0006525
SMED30015059			Unknown protein		
SMED30015057	sp|Q6GL04|TERA_XENTR	*-*	Transitional endoplasmic reticulum ATPase		GO:0000166, GO:0000785, GO:0005515, GO:0005524, GO:0005634, GO:0005737, GO:0005783, GO:0005829, GO:0006281, GO:0006302, GO:0006914, GO:0006974, GO:0008289, GO:0010494, GO:0010498, GO:0016236, GO:0016567, GO:0016787, GO:0016887, GO:0019985, GO:0030433, GO:0032510, GO:0034605, GO:0035617, GO:0035861, GO:0036503, GO:0042802, GO:0043161, GO:0044877, GO:0061857, GO:0097352, GO:1903843
SMED30015058			Unknown protein		
SMED30015055	tr|K1QTC7|K1QTC7_CRAGI	***	Spinster-like protein 1		GO:0016020, GO:0016021, GO:0022857, GO:0055085
SMED30015056			Unknown protein		
SMED30015053			Unknown protein		
SMED30030690			Unknown protein		
SMED30015054	tr|A0A564YHA2|A0A564YHA2_HYMDI	***	Bestrophin homolog		GO:0005254, GO:0005886, GO:0006811, GO:0006821, GO:0016020, GO:0016021, GO:0034707, GO:1902476
SMED30030691	tr|A0A4X1TWU7|A0A4X1TWU7_PIG	*-*	CDV3 homolog		
SMED30003073	tr|A0A0R3T6K3|A0A0R3T6K3_RODNA	*-*	DUF4549 domain-containing protein		GO:0016020, GO:0016021
SMED30027040			Unknown protein		
SMED30030692			Unknown protein		
SMED30003072	tr|A0A224YDI9|A0A224YDI9_9ACAR	*-*	E2F associated phosphoprotein		
SMED30030693	sp|A1VLZ6|MUTS_POLNA	***	DNA mismatch repair protein MutS		GO:0000166, GO:0003677, GO:0003684, GO:0005524, GO:0006281, GO:0006298, GO:0006974, GO:0030983
SMED30003071			Unknown protein		
SMED30027042	tr|A0A485MNJ8|A0A485MNJ8_LYNPA	***	Tbc1 domain family member 13		
SMED30030694			Unknown protein		
SMED30003070			Unknown protein		
SMED30027041			Unknown protein		
SMED30030695			Unknown protein		
SMED30030696	tr|A0A504YRY4|A0A504YRY4_FASGI	*-*	G/T mismatch-specific thymine DNA glycosylase		GO:0006281, GO:0019104
SMED30030697			Unknown protein		
SMED30030698	sp|Q28C55|DLG1_XENTR	***	Disks large homolog 1		GO:0005737, GO:0005783, GO:0005789, GO:0005886, GO:0016020, GO:0016324, GO:0030054
SMED30030699	tr|A0A146LRQ2|A0A146LRQ2_LYGHE	***	Ephrin type-A receptor 4-B		GO:0000166, GO:0004672, GO:0004713, GO:0004714, GO:0005003, GO:0005524, GO:0005887, GO:0006468, GO:0007169, GO:0016020, GO:0016021, GO:0016301, GO:0016310, GO:0016740, GO:0018108, GO:0048013
SMED30027048			Unknown protein		
SMED30030689			Unknown protein		
SMED30027047			Unknown protein		
SMED30003079	tr|A0A5K4EMR5|A0A5K4EMR5_SCHMA	*-*	Prominin (Prom) protein, putative		GO:0016021
SMED30003078			Unknown protein		
SMED30027049	tr|A0A0W8ETK7|A0A0W8ETK7_ELIMR	***	Acriflavine resistance protein B		GO:0016020, GO:0016021, GO:0022857, GO:0055085
SMED30003077			Unknown protein		
SMED30027044			Unknown protein		
SMED30003076			Unknown protein		
SMED30027043	tr|A0A195B0B9|A0A195B0B9_9HYME	*-*	Ribonucleoside-diphosphate reductase		GO:0000166, GO:0004748, GO:0005524, GO:0006260, GO:0016491, GO:0055114
SMED30003075			Unknown protein		
SMED30027046			Unknown protein		
SMED30003074			Unknown protein		
SMED30027045			Unknown protein		
SMED30015051			Unknown protein		
SMED30015052			Unknown protein		
SMED30015050	tr|A0A411DZ24|A0A411DZ24_OCTVU	*-*	Protocadherin		GO:0005509, GO:0005886, GO:0007155, GO:0007156, GO:0016020, GO:0016021
SMED30015068			Unknown protein		
SMED30015069	tr|A0A553PH40|A0A553PH40_TIGCA	*-*	ANK_REP_REGION domain-containing protein		
SMED30015066			Unknown protein		
SMED30015067	tr|E2F3W5|E2F3W5_SCHMD	***	Bicaudal-C protein		GO:0003676, GO:0003723
SMED30015064	tr|A0A419PIT7|A0A419PIT7_CLOSI	*-*	Cyclin-dependent kinase 11B		GO:0004672, GO:0005524, GO:0006468, GO:0016301, GO:0016310
SMED30015065			Unknown protein		
SMED30030680	tr|A0A067R8M2|A0A067R8M2_ZOONE	*-*	Cell division cycle 5-like protein		GO:0003677, GO:0051301
SMED30003084	tr|A0A2I6SFG9|A0A2I6SFG9_SCHMD	***	Cilia-and flagella-associated protein 45		GO:0031514
SMED30029692			Unknown protein		
SMED30030681			Unknown protein		
SMED30003083			Unknown protein		
SMED30029693			Unknown protein		
SMED30030682			Unknown protein		
SMED30003082	tr|A0A2R7X185|A0A2R7X185_ONCFA	***	5'-3' exoribonuclease		GO:0003676, GO:0004518, GO:0004527, GO:0004534, GO:0005634, GO:0006139, GO:0006397, GO:0016787, GO:0090305, GO:0090503
SMED30027031			Unknown protein		
SMED30029690			Unknown protein		
SMED30030683			Unknown protein		
SMED30003081			Unknown protein		
SMED30027030			Unknown protein		
SMED30029691			Unknown protein		
SMED30030684			Unknown protein		
SMED30003080	tr|A0A267FF40|A0A267FF40_9PLAT	*-*	Reverse transcriptase domain-containing protein		
SMED30030685			Unknown protein		
SMED30030686	tr|A0A4Y1ZTL0|A0A4Y1ZTL0_ARAVE	*-*	Transposon Ty3-I Gag-Pol polyprotein		GO:0003676, GO:0015074
SMED30030687	tr|A0A3P8Z345|A0A3P8Z345_ESOLU	*-*	Thyroglobulin		GO:0005576
SMED30030688	tr|A0A3B3CM48|A0A3B3CM48_ORYME	***	SH3-domain GRB2-like 1a		GO:0005737
SMED30027037			Unknown protein		
SMED30030678			Unknown protein		
SMED30027036			Unknown protein		
SMED30030679	tr|A0A1W7RB63|A0A1W7RB63_9SCOR	***	Elongation of very long chain fatty acids protein		GO:0006629, GO:0006631, GO:0006633, GO:0016020, GO:0016021, GO:0016740, GO:0102336, GO:0102337, GO:0102338, GO:0102756
SMED30027039	tr|R4G9H6|R4G9H6_ANOCA	*-*	TTF-type domain-containing protein		GO:0046983
SMED30029698	tr|A0A493QY72|A0A493QY72_DUGJA	***	Caspase-7		GO:0004197, GO:0006508, GO:0008234
SMED30003089			Unknown protein		
SMED30027038	tr|A0A0H3YJQ5|A0A0H3YJQ5_SCHMD	*-*	PKD1L-1		GO:0016020, GO:0016021
SMED30029699			Unknown protein		
SMED30003088	tr|A0A5C7WL30|A0A5C7WL30_METME	*-*	Hemin ABC transporter substrate-binding protein		
SMED30027033			Unknown protein		
SMED30029696			Unknown protein		
SMED30003087	tr|A0A443RMY0|A0A443RMY0_9ACAR	***	Glycoprotein 3-alpha-L-fucosyltransferase A-like protein		GO:0005794, GO:0006486, GO:0008417, GO:0016020, GO:0016021, GO:0016740, GO:0016757, GO:0032580, GO:0036065
SMED30027032	sp|Q5R8K2|CSTF1_PONAB	***	Cleavage stimulation factor subunit 1		GO:0005634, GO:0006397
SMED30029697			Unknown protein		
SMED30003086	tr|G4V709|G4V709_SCHMA	***	GTP-binding protein-like protein		GO:0000166, GO:0005525, GO:0005783, GO:0005794, GO:0006886, GO:0015031, GO:0016192
SMED30027035	tr|A0A1S8X9Q7|A0A1S8X9Q7_9TREM	***	Pseudouridine synthase		GO:0001522, GO:0003723, GO:0009451, GO:0009982, GO:0016853
SMED30029694	tr|A0A2L2YKV3|A0A2L2YKV3_PARTP	*-*	Kinesin light chain		GO:0003777, GO:0005871
SMED30003085			Unknown protein		
SMED30027034	tr|A0A3M6TXS7|A0A3M6TXS7_9CNID	***	Aminotran_5 domain-containing protein		GO:0003824, GO:0016020, GO:0016021
SMED30029695	tr|D2ILS0|D2ILS0_SCHMD	***	Patched-like protein		GO:0016020, GO:0016021
SMED30015062			Unknown protein		
SMED30015063			Unknown protein		
SMED30015060			Unknown protein		
SMED30015061	tr|A0A068WJC3|A0A068WJC3_ECHGR	*-*	G protein regulated inducer of neurite outgrowth		
SMED30015079	tr|K1PX83|K1PX83_CRAGI	***	Dynein heavy chain 5, axonemal		GO:0003777, GO:0005524, GO:0007018, GO:0030286
SMED30015077			Unknown protein		
SMED30015078			Unknown protein		
SMED30015075			Unknown protein		
SMED30015076	tr|T1ETF1|T1ETF1_HELRO	*-*	Dimer_Tnp_hAT domain-containing protein		GO:0046983
SMED30003095	tr|A0A5J4NXY5|A0A5J4NXY5_9TREM	***	Protein regulator of cytokinesis 1		GO:0000226, GO:0008017
SMED30027062	tr|A0A1S3JSA5|A0A1S3JSA5_LINUN	***	NIPA-like protein 2		GO:0015095, GO:0015693, GO:0016020, GO:0016021, GO:1903830
SMED30003094	tr|A0A4S2MD80|A0A4S2MD80_OPIFE	***	HMG box domain-containing protein		GO:0003677, GO:0005634
SMED30027061	tr|A0A1X7UMT9|A0A1X7UMT9_AMPQE	*-*	RNA polymerase II subunit A C-terminal domain phosphatase		GO:0004721, GO:0005634, GO:0008420, GO:0016787, GO:0070940
SMED30003093			Unknown protein		
SMED30027064	tr|W6UQM4|W6UQM4_ECHGR	***	Cohesin subunit		GO:0003735, GO:0005840, GO:0006412
SMED30003092			Unknown protein		
SMED30027063	tr|A0A2H3FK11|A0A2H3FK11_9HELO	*-*	CAP-Gly domain-containing protein		GO:0016788
SMED30003091			Unknown protein		
SMED30003090	tr|A0A430Q485|A0A430Q485_SCHBO	*-*	Histidine triad (HIT) family protein		GO:0003824
SMED30027060			Unknown protein		
SMED30027069	tr|A0A4W2GQ39|A0A4W2GQ39_BOBOX	*-*	Tensin 1		GO:0035556, GO:0046872
SMED30003099			Unknown protein		
SMED30027066			Unknown protein		
SMED30003098	tr|A0A3P8RAZ4|A0A3P8RAZ4_ASTCA	*-*	F-box and WD repeat domain containing 7		GO:0001525, GO:0031641, GO:0031642, GO:0032006, GO:0045746
SMED30027065			Unknown protein		
SMED30003097			Unknown protein		
SMED30027068	tr|A0A1S3HPL3|A0A1S3HPL3_LINUN	***	rab3 GTPase-activating protein non-catalytic subunit		GO:0043087
SMED30003096	sp|O34705|PLBAC_BACSU	***	Phospholipase YtpA		GO:0016787, GO:0017000, GO:0052689
SMED30027067			Unknown protein		
SMED30015073	sp|Q5RB58|BUB3_PONAB	***	Mitotic checkpoint protein BUB3		GO:0000775, GO:0000776, GO:0000777, GO:0005634, GO:0005694, GO:0007049, GO:0007059, GO:0051301, GO:0051321, GO:0051983
SMED30015074	tr|A0A0X3Q3A0|A0A0X3Q3A0_SCHSO	***	RNA-binding protein 34		GO:0003676, GO:0003723
SMED30015071	tr|Q86FY6|Q86FY6_DUGJA	***	Eyes absent homolog		GO:0004721, GO:0004725, GO:0006470, GO:0007275, GO:0016787, GO:0035335, GO:0046872
SMED30015072			Unknown protein		
SMED30015070			Unknown protein		
SMED30015088			Unknown protein		
SMED30015089			Unknown protein		
SMED30015086	tr|A0A2P4TFG6|A0A2P4TFG6_BAMTH	***	Glycerol-3-phosphate dehydrogenase [NAD(+)]		GO:0004367, GO:0005975, GO:0006072, GO:0009331, GO:0016491, GO:0016616, GO:0042803, GO:0046168, GO:0051287, GO:0055114
SMED30015087			Unknown protein		
SMED30027051			Unknown protein		
SMED30027050	tr|A0A0B7BTF0|A0A0B7BTF0_9EUPU	*-*	ATP-dependent DNA helicase		GO:0000166, GO:0000723, GO:0003678, GO:0004386, GO:0005524, GO:0006281, GO:0006310, GO:0006974, GO:0016787, GO:0032508
SMED30027053	tr|A0A448X0L1|A0A448X0L1_9PLAT	*-*	Tubulin alpha chain		GO:0000166, GO:0003924, GO:0005200, GO:0005525, GO:0005737, GO:0005856, GO:0005874, GO:0007010, GO:0007017
SMED30027052	tr|A8SLH5|A8SLH5_SCHMD	***	Noggin-like protein 1		GO:0030514, GO:0045596
SMED30027059	tr|A0A096PAH4|A0A096PAH4_OSTTA	*-*	ENTH/VHS		GO:0003676
SMED30027058	tr|A0A4E0RZH0|A0A4E0RZH0_FASHE	***	DNA-binding death effector domain-containing protein		GO:0003677, GO:0006915
SMED30027055			Unknown protein		
SMED30027054	tr|A0A0A9ZDM2|A0A0A9ZDM2_LYGHE	***	Rho GTPase-activating protein 26		GO:0005096, GO:0007165, GO:0043547
SMED30027057	tr|A0A0L8GLI2|A0A0L8GLI2_OCTBM	***	G_PROTEIN_RECEP_F1_2 domain-containing protein		GO:0004930, GO:0007186, GO:0016020, GO:0016021
SMED30027056	tr|A0A4Y2GFC3|A0A4Y2GFC3_ARAVE	*-*	C2H2-type domain-containing protein		GO:0003676
SMED30015084			Unknown protein		
SMED30015085			Unknown protein		
SMED30015082			Unknown protein		
SMED30015083	tr|A0A3R7GY66|A0A3R7GY66_CLOSI	***	Tubulin alpha chain		GO:0000166, GO:0003924, GO:0005200, GO:0005525, GO:0005737, GO:0005856, GO:0005874, GO:0007010, GO:0007017
SMED30015080			Unknown protein		
SMED30015081	tr|A0A3Q0S7T5|A0A3Q0S7T5_AMPCI	***	SET and MYND domain containing 1		GO:0046872
SMED30015099	tr|A0A4Z2CWT3|A0A4Z2CWT3_SCHJA	***	Voltage-dependent calcium channel type A subunit alpha-1		GO:0005216, GO:0005244, GO:0005245, GO:0005262, GO:0005891, GO:0006811, GO:0006816, GO:0016020, GO:0016021, GO:0034765, GO:0055085, GO:0070588
SMED30015097			Unknown protein		
SMED30015098			Unknown protein		
SMED30027084	tr|A0A0V0V9A8|A0A0V0V9A8_9BILA	*-*	Retrovirus-related Pol polyprotein from transposon 17.6		GO:0003676, GO:0015074
SMED30027083			Unknown protein		
SMED30027086			Unknown protein		
SMED30027085			Unknown protein		
SMED30027080			Unknown protein		
SMED30027082			Unknown protein		
SMED30027081	tr|G1MY17|G1MY17_MELGA	*-*	Docking protein 3		GO:0005737, GO:0007265
SMED30027088			Unknown protein		
SMED30027087	tr|A0A0L7QQ52|A0A0L7QQ52_9HYME	***	L-xylulose reductase		GO:0016491, GO:0055114
SMED30027089			Unknown protein		
SMED30015095	tr|A0A388JJM4|A0A388JJM4_CHABU	*-*	DDE-1 domain-containing protein		GO:0003676
SMED30015096	tr|A0A3P8Z318|A0A3P8Z318_ESOLU	***	Family with sequence similarity 183 member A		
SMED30015093			Unknown protein		
SMED30015094	tr|W6UL26|W6UL26_ECHGR	*-*	Transcription initiation factor TFIID subunit		GO:0003743, GO:0005634, GO:0006367, GO:0006413, GO:0046982
SMED30015091			Unknown protein		
SMED30015092			Unknown protein		
SMED30015090	tr|A0A4Z2CSM4|A0A4Z2CSM4_SCHJA	***	Latent-transforming growth factor beta-binding protein		GO:0005509, GO:0030198, GO:0062023
SMED30027073			Unknown protein		
SMED30027072			Unknown protein		
SMED30027075			Unknown protein		
SMED30027074			Unknown protein		
SMED30027071			Unknown protein		
SMED30027070	tr|A0A1W4X7J8|A0A1W4X7J8_AGRPL	***	protein FAM136A		
SMED30027077	tr|A0A482VLL2|A0A482VLL2_9CUCU	***	GATA zinc finger domain-containing protein 1		
SMED30027076	tr|A0A075AIR6|A0A075AIR6_9TREM	***	FAD-binding PCMH-type domain-containing protein		GO:0050660, GO:0071949
SMED30027079			Unknown protein		
SMED30027078			Unknown protein		
SMED30027095	tr|A0A210PE94|A0A210PE94_MIZYE	***	SCY1-like protein 2		GO:0004672, GO:0005524, GO:0006468
SMED30027094	tr|A0A3S5BQW5|A0A3S5BQW5_9PLAT	***	Serine/threonine-protein phosphatase		GO:0004721, GO:0006470, GO:0016787
SMED30027097	tr|A0A1U7LJH7|A0A1U7LJH7_NEOID	*-*	Imidazoleglycerol-phosphate dehydratase		GO:0000105, GO:0004424, GO:0016020, GO:0016021, GO:0016829
SMED30027096			Unknown protein		
SMED30027091	sp|Q21YS9|SYFA_RHOFT	***	Phenylalanine--tRNA ligase alpha subunit		GO:0000049, GO:0000166, GO:0000287, GO:0004812, GO:0004826, GO:0005524, GO:0005737, GO:0006412, GO:0006432, GO:0016874, GO:0043039, GO:0046872
SMED30027090			Unknown protein		
SMED30027093	tr|H3B3A9|H3B3A9_LATCH	***	Prefoldin subunit 5		GO:0006457, GO:0016272, GO:0051082
SMED30027092			Unknown protein		
SMED30027099			Unknown protein		
SMED30027098			Unknown protein		
SMED30015213			Unknown protein		
SMED30017876	tr|A0A3R7FKN4|A0A3R7FKN4_CLOSI	***	ATP-dependent 6-phosphofructokinase		GO:0003872, GO:0005524, GO:0005737, GO:0006002, GO:0006096, GO:0016301, GO:0016310, GO:0061615
SMED30015214			Unknown protein		
SMED30017875			Unknown protein		
SMED30015211			Unknown protein		
SMED30017874	tr|A0A210QSU7|A0A210QSU7_MIZYE	*-*	PRKCA-binding protein		GO:0019904
SMED30015212	tr|A0A0H3YEX6|A0A0H3YEX6_SCHMD	***	Slc6a-10		GO:0005328, GO:0006836, GO:0015293, GO:0016020, GO:0016021, GO:0055085
SMED30017873			Unknown protein		
SMED30017872	tr|A0A4V6DBB5|A0A4V6DBB5_SETVI	*-*	Protein kinase domain-containing protein		GO:0004672, GO:0005524, GO:0006468
SMED30015210			Unknown protein		
SMED30017871	tr|A0A0X3Q5Z4|A0A0X3Q5Z4_SCHSO	***	tRNA pseudouridine synthase A		GO:0001522, GO:0003723, GO:0009451, GO:0009982, GO:0031119
SMED30017870	tr|U6JE35|U6JE35_ECHGR	***	Expressed conserved protein		
SMED30015219			Unknown protein		
SMED30015217			Unknown protein		
SMED30030850			Unknown protein		
SMED30015218	tr|A0A131YNN4|A0A131YNN4_RHIAP	***	Microsomal triglyceride transfer protein large subunit		GO:0005319, GO:0005548, GO:0006869, GO:0015914
SMED30017879			Unknown protein		
SMED30030851	tr|A0A4Y2VGX0|A0A4Y2VGX0_ARAVE	*-*	Zinc finger protein 764		GO:0003676
SMED30015215			Unknown protein		
SMED30017878	tr|A0A0X3NL78|A0A0X3NL78_SCHSO	*-*	RING finger protein unkempt homolog		GO:0046872
SMED30030852			Unknown protein		
SMED30015216			Unknown protein		
SMED30017877	sp|A1TUW0|CCA_ACIAC	***	Multifunctional CCA protein		GO:0000049, GO:0000166, GO:0000287, GO:0001680, GO:0003723, GO:0003824, GO:0004112, GO:0004810, GO:0005524, GO:0006396, GO:0008033, GO:0008152, GO:0016311, GO:0016437, GO:0016740, GO:0016779, GO:0016787, GO:0016791, GO:0042245, GO:0046872, GO:0052927, GO:0052928, GO:0052929
SMED30030853			Unknown protein		
SMED30003235			Unknown protein		
SMED30005898	sp|P93348|TBP_TOBAC	***	TATA-box-binding protein		GO:0003677, GO:0005634, GO:0006352, GO:0006355
SMED30027202	tr|K7G9H5|K7G9H5_PELSI	***	Progestin and adipoQ receptor family member 6		GO:0016020, GO:0016021
SMED30029865	tr|A0A225UMC3|A0A225UMC3_9STRA	*-*	Reverse transcriptase		GO:0003964, GO:0006278
SMED30030843	tr|W6UCW2|W6UCW2_ECHGR	***	Glycine receptor subunit alpha-3		GO:0004888, GO:0005216, GO:0005230, GO:0005886, GO:0006811, GO:0016020, GO:0016021, GO:0034220
SMED30003234	tr|A0A452GTK8|A0A452GTK8_9SAUR	***	Chromodomain helicase DNA binding protein 5		GO:0005524, GO:0005634, GO:0046872
SMED30005899			Unknown protein		
SMED30027201	tr|A0A2U0YW07|A0A2U0YW07_9BURK	***	UPF0246 protein C7516_102389		
